timestamp,x,y,z
12.347,-9.179999,-50.94,-37.739998
12.391,-8.88,-51.6,-38.28
12.407,-8.28,-51.3,-38.579998
12.447,-8.639999,-50.52,-37.86
12.487,-8.16,-51.18,-38.52
12.506,-8.04,-51.48,-38.219997
12.546,-8.76,-51.239998,-38.1
12.587,-9.0,-50.879997,-38.28
12.608,-9.059999,-51.36,-38.04
12.648,-7.8599997,-50.579998,-38.16
12.688,-8.94,-51.239998,-38.7
12.709,-8.76,-50.46,-38.16
12.748,-8.04,-51.18,-38.579998
12.788,-8.82,-50.46,-38.1
12.808,-8.5199995,-50.94,-38.16
12.847,-8.28,-51.3,-39.12
12.888,-8.5199995,-51.0,-38.579998
12.908,-8.34,-50.76,-38.399998
12.948,-8.82,-51.0,-38.46
12.988,-8.099999,-51.059998,-39.059998
13.008,-8.28,-50.7,-38.94
13.048,-9.24,-51.3,-39.12
13.088,-8.22,-50.94,-37.739998
13.128,-8.34,-51.12,-38.52
13.147,-8.88,-51.12,-37.8
13.187,-7.98,-51.18,-38.76
13.227,-8.28,-51.18,-38.46
13.249,-8.58,-50.76,-38.64
13.288,-8.28,-50.16,-38.94
13.327,-7.98,-50.52,-38.64
13.360,-8.76,-51.36,-38.219997
13.387,-8.58,-50.7,-39.239998
13.426,-8.5199995,-50.52,-38.1
13.446,-8.76,-50.82,-38.219997
13.487,-8.28,-51.48,-38.16
13.527,-8.46,-50.76,-37.8
13.546,-8.58,-50.94,-37.62
13.586,-8.28,-51.6,-38.219997
13.627,-8.76,-50.82,-39.12
13.665,-8.94,-51.239998,-38.76
13.685,-8.639999,-50.52,-38.64
13.726,-8.76,-51.42,-38.34
13.766,-8.82,-50.7,-38.7
13.786,-8.5199995,-50.82,-38.579998
13.827,-8.099999,-50.64,-38.52
13.867,-8.28,-50.879997,-39.12
13.888,-8.639999,-50.64,-38.76
13.927,-8.58,-50.76,-38.28
13.969,-8.639999,-51.12,-38.28
13.988,-8.34,-51.239998,-38.04
14.028,-8.58,-51.6,-38.219997
14.069,-9.12,-50.579998,-37.8
14.088,-8.4,-50.82,-38.16
14.128,-8.28,-50.399998,-38.04
14.168,-8.46,-51.539997,-37.98
14.188,-8.76,-51.6,-38.399998
14.227,-9.179999,-50.7,-38.1
14.268,-8.16,-50.64,-39.059998
14.288,-8.34,-51.18,-38.46
14.328,-8.58,-51.42,-38.76
14.366,-8.76,-50.16,-38.76
14.386,-8.34,-50.52,-38.7
14.428,-8.099999,-50.579998,-38.579998
14.467,-8.94,-50.879997,-38.52
14.506,-8.5199995,-50.7,-38.399998
14.526,-9.0,-50.76,-38.64
14.566,-8.76,-50.76,-37.98
14.607,-7.68,-51.059998,-38.7
14.628,-8.28,-51.12,-39.0
14.668,-7.9199996,-50.46,-38.579998
14.707,-8.4,-51.059998,-38.16
14.727,-8.4,-51.239998,-38.52
14.767,-8.94,-50.28,-38.04
14.808,-8.22,-50.879997,-38.04
14.827,-8.34,-51.0,-38.399998
14.868,-8.5199995,-51.3,-38.879997
14.907,-9.0,-51.3,-38.64
14.928,-8.94,-51.3,-38.82
14.968,-8.34,-51.66,-38.94
15.008,-8.58,-51.36,-38.82
15.028,-8.639999,-50.579998,-39.059998
15.069,-8.76,-50.46,-37.98
15.108,-9.54,-51.12,-38.76
15.127,-9.3,-51.36,-38.579998
15.167,-8.46,-51.42,-38.64
15.208,-8.82,-51.18,-37.98
15.228,-7.74,-51.059998,-38.16
15.268,-7.68,-50.879997,-38.64
15.308,-8.34,-51.78,-38.7
15.328,-8.34,-51.42,-38.1
15.366,-8.5199995,-50.82,-37.8
15.409,-8.099999,-51.12,-38.219997
15.446,-8.28,-51.36,-37.68
15.466,-9.0,-52.079998,-38.04
15.505,-8.22,-51.239998,-37.739998
15.545,-8.22,-51.18,-36.719997
15.566,-7.2599998,-51.059998,-36.78
15.608,-9.24,-50.879997,-37.8
15.647,-7.7999997,-51.3,-38.399998
15.668,-7.98,-51.66,-38.52
15.707,-9.3,-50.52,-38.1
15.749,-8.639999,-50.219997,-38.399998
15.766,-8.22,-50.399998,-37.32
15.807,-8.5199995,-51.12,-38.28
15.849,-8.099999,-50.82,-38.46
15.868,-7.98,-50.76,-38.1
15.907,-8.94,-50.94,-38.399998
15.948,-7.98,-51.84,-37.92
15.968,-7.9199996,-51.3,-38.579998
16.007,-8.76,-50.82,-37.92
16.047,-8.58,-50.7,-38.82
16.067,-8.4,-51.0,-38.7
16.107,-8.94,-50.82,-38.28
16.148,-8.88,-50.579998,-38.76
16.168,-8.5199995,-51.3,-38.64
16.206,-7.9199996,-50.579998,-39.12
